kind	legacyId	owner	disposition	replacementId
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|setEnvironmentVariable|(Ljava/lang/String;Ljava/lang/String;)V|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|setInfo|(Lcom/salesforce/revoman/internal/postman/Info;)V|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|setRequest|(Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;)V|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|setRequest$com_salesforce_revoman_revoman|(Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;)V|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|setRequestAndResponse$com_salesforce_revoman_revoman|(Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;Lorg/http4k/core/Response;)V|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|setResponse|(Lcom/salesforce/revoman/internal/postman/PostmanSDK$Response;)V|0x0031|0x0011	CS2a	removed	immutable request and response snapshots
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|setResponse$com_salesforce_revoman_revoman|(ILjava/lang/String;Ljava/lang/String;)V|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|setResponse$com_salesforce_revoman_revoman|(Lorg/http4k/core/Response;)V|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|setRundown|(Lcom/salesforce/revoman/output/Rundown;)V|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|skipRequestFor$com_salesforce_revoman_revoman|(Lcom/salesforce/revoman/output/report/Step;)Z|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
java	com/salesforce/revoman/internal/postman/PostmanSDK|METHOD|syncProgress$com_salesforce_revoman_revoman|(Lcom/salesforce/revoman/output/report/StepReport;)V|0x0031|0x0011	CS2a	internalized	internal-runtime/PostmanExecutionState
